id_titular,num,nom_via,municipi,provincia,cp,pais,
777065,s/n,Can Felip,Llinars del Vallès,BARCELONA,8450,Spain,
434176,s/n,El Corral,"Masies de Voltregà, Les",BARCELONA,8508,Spain,
753868,s/n,Can Guilella de Gargallà,Montmajor,BARCELONA,8612,Spain,
702968,2,Boixareu,"Franqueses del Vallès, Les",BARCELONA,8590,Spain,
692249,s/n,La Noguera,Oristà,BARCELONA,8518,Spain,
637615,12,Baix,Oristà,BARCELONA,8518,Spain,
692249,s/n,La Noguera,Oristà,BARCELONA,8518,Spain,
434158,57,Mossen Riba Pont,Oristà,BARCELONA,8518,Spain,
434158,57,Mossen Riba Pont,Oristà,BARCELONA,8518,Spain,
637615,12,Baix,Oristà,BARCELONA,8518,Spain,
434215,18,josep mº llobet,"Prats de Rei, Els",BARCELONA,8281,Spain,
434094,s/n,Can Bartomeu,"Prats de Rei, Els",BARCELONA,8281,Spain,
434094,s/n,Can Bartomeu,"Prats de Rei, Els",BARCELONA,8281,Spain,
763990,s/n,Cal Joan Pau,Pujalt,BARCELONA,8282,Spain,
720410,5,Ponts,Pujalt,BARCELONA,8282,Spain,
807441,s/n,Cal Grau,Pujalt,BARCELONA,8282,Spain,
807438,s/n,Cal Grau,Pujalt,BARCELONA,8282,Spain,
895942,s/n,Vilanova,Sagàs,BARCELONA,8619,Spain,
643528,s/n,Vilaclara,Sant Joan de Vilatorrada,BARCELONA,8250,Spain,
633400,s/n,La Boixeda,Sant Julià de Vilatorta,BARCELONA,8504,Spain,
633400,s/n,La Boixeda,Sant Julià de Vilatorta,BARCELONA,8504,Spain,
434142,,Cal Ton Xacó - La Bleda,Sant Martí Sarroca,BARCELONA,8731,Spain,
599423,,Casa Cal Masover,Sant Mateu de Bages,BARCELONA,8269,Spain,
630373,s/n,La Vola,Sant Pere de Torelló,BARCELONA,8572,Spain,
382433,km 24,Vic-Olot,Santa Maria de Corcó,BARCELONA,8569,Spain,
382433,km 24,Vic-Olot,Santa Maria de Corcó,BARCELONA,8569,Spain,
382433,km 24,Vic-Olot,Santa Maria de Corcó,BARCELONA,8569,Spain,
847837,14,Puigsacalm,Torelló,BARCELONA,8571,Spain,
409036,s/n,Can Julià,Subirats,BARCELONA,8739,Spain,
409036,s/n,Can Julià,Subirats,BARCELONA,8739,Spain,
409036,s/n,Can Julià,Subirats,BARCELONA,8739,Spain,
